frequency_filtre,NF_01_filtre,S11_01_filtre,S21_01_filtre,S12_01_filtre,S22_01_filtre,NF_01s_filtre,S11_01s_filtre,S21_01s_filtre,S12_01s_filtre,S22_01s_filtre,NF_02_filtre,S11_02_filtre,S21_02_filtre,S12_02_filtre,S22_02_filtre,NF_02s_filtre,S11_02s_filtre,S21_02s_filtre,S12_02s_filtre,S22_02s_filtre,NF_03_filtre,S11_03_filtre,S21_03_filtre,S12_03_filtre,S22_03_filtre,NF_03s_filtre,S11_03s_filtre,S21_03s_filtre,S12_03s_filtre,S22_03s_filtre
64382000000,16.403782,-14.814517,11.064014,-48.746967,-8.3558998,8.2180882,-13.497346,11.270226,-56.465004,-8.3305302,18.003048,-13.568648,10.824539,-53.6894,-8.3267822,9.0652599,-13.568648,10.824539,-53.6894,-8.3267822,16.951624,-14.15382,9.4982414,-45.332569,-9.5724888,9.161006,-14.202552,9.4964809,-49.147305,-9.5901184
64399000000,7.5153041,-14.777048,11.077543,-50.921078,-8.3388367,7.895606,-13.482906,11.281083,-46.138191,-8.3218069,7.7028155,-13.643716,10.839179,-52.595154,-8.3344316,8.3669081,-13.643716,10.839179,-52.595154,-8.3344316,6.4810677,-14.242064,9.508626,-54.217274,-9.5963678,8.9273338,-14.302882,9.5061979,-49.090275,-9.6121731
64416000000,6.5854883,-14.874886,11.092847,-51.928745,-8.3252211,8.1406126,-13.590427,11.29753,-64.078224,-8.3051844,7.3742514,-13.822298,10.855501,-52.672958,-8.3572922,8.6544161,-13.822298,10.855501,-52.672958,-8.3572922,7.9628882,-14.438869,9.5264893,-57.068577,-9.6648912,9.2973604,-14.445292,9.5199051,-55.913826,-9.6412954
64433000000,7.4973679,-15.167139,11.081996,-55.82869,-8.3717947,8.2371416,-13.819073,11.283361,-51.901764,-8.3260269,7.996603,-14.056612,10.843936,-51.478035,-8.4089279,8.7580614,-14.056612,10.843936,-51.478035,-8.4089279,8.8574429,-14.684284,9.5174141,-59.872646,-9.7470503,9.4030399,-14.677925,9.5100613,-62.415657,-9.7193928
64450000000,10.666513,-15.132335,11.034779,-63.847351,-8.421936,8.3190804,-13.774282,11.236057,-54.492229,-8.3723516,11.347274,-13.888265,10.799074,-45.449539,-8.4590769,8.700285,-13.888265,10.799074,-45.449539,-8.4590769,10.915888,-14.786205,9.4773521,-53.705688,-9.8318958,9.3870859,-14.730457,9.4706888,-49.088699,-9.781662
64467000000,5.1906433,-14.942949,11.005707,-53.411434,-8.5041704,7.7803655,-13.649197,11.209845,-59.629902,-8.4657249,6.1272526,-13.848597,10.773148,-46.675549,-8.5333652,7.8659091,-13.848597,10.773148,-46.675549,-8.5333652,7.5385041,-14.525878,9.4489927,-51.108192,-9.8688087,8.7804604,-14.553521,9.4413233,-49.713524,-9.859973
64484000000,2.8692274,-14.832152,11.001235,-52.719475,-8.5616446,6.8618064,-13.659552,11.207264,-58.134113,-8.5343218,0.56386542,-13.799375,10.767275,-52.48996,-8.5641756,6.8394456,-13.799375,10.767275,-52.48996,-8.5641756,5.1129074,-14.508955,9.4389992,-50.712917,-9.8665333,7.9675632,-14.49507,9.4360914,-55.412483,-9.8720055
64501000000,9.2730446,-14.661972,10.990738,-48.533546,-8.5869627,6.7165356,-13.499198,11.193801,-51.879414,-8.5567875,9.6592236,-13.590038,10.753519,-46.555447,-8.5597677,6.5619912,-13.590038,10.753519,-46.555447,-8.5597677,10.373777,-14.250359,9.428441,-62.217361,-9.8435001,8.017457,-14.227464,9.4250269,-55.685635,-9.8549967
64518000000,9.0256138,-14.827163,10.994759,-53.414967,-8.5752649,6.8269601,-13.410837,11.1978,-51.587669,-8.5390339,9.7026882,-13.524345,10.755992,-51.384079,-8.5433969,6.3984885,-13.524345,10.755992,-51.384079,-8.5433969,9.5665741,-14.231964,9.4311476,-45.744343,-9.8198566,7.9236913,-14.344354,9.4290667,-55.575764,-9.8527565
64535000000,5.8019319,-14.882729,10.980393,-48.342728,-8.5307837,6.9692268,-13.480223,11.185037,-54.161045,-8.5081358,4.9195828,-13.677208,10.746302,-59.759853,-8.5410194,6.3960018,-13.677208,10.746302,-59.759853,-8.5410194,7.085197,-14.409906,9.418889,-53.607162,-9.8629274,7.9651942,-14.308359,9.4158211,-49.285942,-9.8573017
64552000000,5.636003,-15.216429,10.977675,-52.094131,-8.5656128,6.6537805,-13.68552,11.181588,-67.785667,-8.518713,3.128396,-13.76687,10.740632,-52.088184,-8.5742617,6.1012197,-13.76687,10.740632,-52.088184,-8.5742617,5.7391934,-14.499875,9.4168882,-50.684235,-9.9297514,7.5722775,-14.580941,9.4118996,-50.367214,-9.9068441
